Name,Gender,Kin?,BirthYear,DeathYear,BirthPlace,Smallest Birth Place,Birth State,Birth Country
Mary Pemberton,F,N,1704,1778,America,,,America
Mary Rich,F,N,,1769,,,,
Mary Stevenson Hewson,F,N,1734,1795,"London, Greater London, England",London,Greater London,England
Massachusetts House of Representatives,G,N,,,"Boston, Massachusetts, America",Boston,Massachusetts,America
Massachusetts House of Representatives Committee,G,N,,,"Boston, Massachusetts, America",Boston,Massachusetts,America
Massachusetts House of Representatives Committee of Correspondence,G,N,,,"Boston, Massachusetts, America",Boston,Massachusetts,America
Massachusetts Provincial Congress,G,N,,,"Boston, Massachusetts, America",Boston,Massachusetts,America
Mather Byles,M,N,1707,1788,"Boston, Massachusetts, America",Boston,Massachusetts,America
Matthew Boulton,M,N,1728,1809,"Birmingham, West Midlands, England",Birmingham,,England
Matthew Darly,M,N,,,,,,
Matthew Maty,M,N,1718,1776,"Monfort, The Netherlands",Monfort,,The Netherlands
Matthew Tilghman,M,N,1718,1790,America,,,America
Michael Collinson,M,N,1727,1795,England,,,England
Michael Francklin,M,N,1733,1782,"Poole, Dorset, England",Poole,Dorset,England
Michael Hillegas,M,N,1728,1804,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Montagu Wilmot,M,N,,1766,,,,
Moses Franks,M,N,1719,1789,"New York, America",,New York,America
Mrs. William Deane,F,N,,,,,,
Naphtali Franks,M,N,1715,1796,"New York, America",,New York,America
Nathaniel Evans,M,N,1742,1767,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Nathaniel Falconer,M,N,,,,,,
Nathaniel Seidel,M,N,1718,1782,"Lauban, Silesia, Poland",Lauban,Silesia,Poland
Nevil Maskelyne,M,N,1732,1811,"London, Greater London, England",London,Greater London,England
New Jersey Assembly Committee of Correspondence,G,N,,,"New Jersey, America",,New Jersey,America
New Jersey Assembly Standing Committee of Correspondence and Inquiry,G,N,,,"New Jersey, America",,New Jersey,America
"New Jersey House, Council, and Governor",G,N,,,"New Jersey, America",,New Jersey,America
New York Committee of Safety,G,N,,,"New York, America",,New York,America
New York Provincial Congress,G,N,,,"New York, America",,New York,America
Nicholas Cooke,M,N,,1782,,,,
Nicholas Waln,M,N,1742,1813,"Fair Hill, Pennsylvania, America",Fair Hill,Pennsylvania,America
Noble Wimberly Jones,M,N,1723,1805,"Lambeth, Surrey, England",Lambeth,Surrey,England
Officers of Minutemen in York County,G,N,,,"York, Pennsylvania, America",York,Pennsylvania,America
Oliver Neave,M,N,,,,,,
Osgood Hanbury & Company,G,N,,,,,,
Oxford University,G,N,,,"Oxford, Oxfordshire, England",Oxford,Oxfordshire,England
Patrick Wilson (?-?),M,N,,,Scotland,,,Scotland
Patrick Wilson (1743-1811),M,N,1743,1811,Scotland,,,Scotland
Paul-Pierre le Mercier de la Rivière,M,N,1720,1793,France,,,France
Paul Wentworth,M,N,,1793,,,,
Pennsylvania Assembly,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Pennsylvania Assembly Committee,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Pennsylvania Assembly Committee of Accounts,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
Pennsylvania Assembly Committee of Correspondence,G,N,,,"Philadelphia, Pennsylvania, America",Philadelphia,Pennsylvania,America
